,BD.BA.BS,BD.BA.BL,BD.BA.BG,BD.BA.JK,BD.BA.PT,BD.BA.PR,BD.CG.BD,BD.CG.BB,BD.CG.CP,BD.CG.CT,BD.CG.CM,BD.CG.CB,BD.CG.FN,BD.CG.KG,BD.CG.LK,BD.CG.NO,BD.CG.PC,BD.DA.DH,BD.DA.FR,BD.DA.GZ,BD.DA.GG,BD.DA.JM,BD.DA.KS,BD.DA.MD,BD.DA.MK,BD.DA.MU,BD.DA.NY,BD.DA.NS,BD.DA.MM,BD.DA.NK,BD.DA.RB,BD.DA.SA,BD.DA.SP,BD.DA.TA,BD.KH.BH,BD.KH.CD,BD.KH.JS,BD.KH.JN,BD.KH.KL,BD.KH.KU,BD.KH.MG,BD.KH.ME,BD.KH.NR,BD.KH.ST,BD.RS.BO,BD.RS.JP,BD.RS.NA,BD.RS.NT,BD.RS.NW,BD.RS.PB,BD.RS.RS,BD.RS.SR,BD.RP.DJ,BD.RP.GB,BD.RP.KR,BD.RP.LL,BD.RP.NP,BD.RP.PN,BD.RP.RP,BD.RP.TH,BD.SY.HA,BD.SY.MB,BD.SY.SN,BD.SY.SL
BD.CG.CM,1255.3000591,960.502745921,645.472116566,443.771641073,991.649596207,844.12640336,238.854884844,933.923602695,458.845928345,3655.71467578,0.0,1475.09821716,396.253244451,233.604304103,545.645597764,1146.70655717,286.223236558,8360.93192067,1780.22516442,2390.28593109,920.626620966,3209.04687623,1804.03462931,708.009704522,1363.60973029,635.018987419,1175.55361322,987.642448838,5183.32288014,1969.29926951,1306.66194914,489.470230172,17443.444632,4308.9278443,1234.85672015,1678.81647112,3259.3967368,2426.34786815,2171.14213709,3179.92795472,1092.16044902,1040.15969255,717.723303621,2017.98572349,5551.00451767,1525.3734283,4518.6944451,2962.8917503,2801.04245312,3861.76193699,4724.22899258,4615.36942259,4757.6952124,3619.56080955,2879.88721353,1808.54655336,2718.01576754,1426.03398758,4436.20395661,2083.70067845,1137.71833523,1143.05516342,1926.9371987,2483.8956769
BD.CG.CB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.CG.FN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.CG.KG,817.708053311,450.729424481,314.144896773,251.440485218,474.550771417,445.69898774,62.9199546737,763.929229782,648.763364953,820.997275239,1110.86603485,435.766612525,141.387186671,0.0,387.303584347,528.280282395,37.2353079258,6644.67395808,1207.99397961,1754.03765046,601.928157474,1708.11818953,1104.54868534,532.563984799,943.70669606,612.155912135,1186.30727286,829.069995709,2954.00610075,1025.47532188,812.597914915,438.373887104,9118.44596242,2656.85840537,648.611303737,913.263228512,1814.21708701,1365.51683313,1134.0534135,1768.59271682,657.388288007,555.618993913,432.860519548,1018.78145498,2951.97382012,773.82828154,2290.0224865,1612.08620761,1392.55243661,2260.46989475,2447.85928034,2668.1321217,2283.71057703,1822.92398131,1374.34216366,844.954095323,1271.51096584,654.496988339,2145.27062229,968.947055893,557.69671477,432.3481571,887.473858355,960.417834959
BD.CG.LK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.CG.NO,393.450087615,166.479348708,172.650244998,127.7385005,231.212358925,253.066612107,65.6356946004,872.76965398,399.935070794,810.275855954,951.201791975,390.484539302,111.575243744,92.1518200533,120.106437584,0.0,92.7494177577,5449.38560845,880.248190448,1645.21704351,384.993126887,1680.06426285,1244.17607149,334.880296967,768.12478151,449.679490124,1004.97435852,829.841826035,3040.94454195,1149.30558399,641.524782309,267.63987669,9253.5509329,2449.33923474,395.567701819,731.033649055,1317.8121151,1058.80824895,741.880867974,1466.46812964,491.553251789,457.67590668,297.963823056,706.034720688,2766.29261476,732.499256633,2110.38377665,1420.23921917,1255.66904358,1907.68780188,2167.3196915,2399.6253112,2212.33484553,1791.65557988,1403.48083473,850.552265777,1261.75918165,647.736906026,2120.07567248,941.966914819,743.246552683,644.552454855,1093.33576253,1313.38512096
BD.CG.PC,1211.71023759,616.970654312,424.831308217,357.894294726,641.640494042,618.840864961,58.6731387289,1346.71131432,1090.81100773,810.184122042,2045.1297245,449.666044464,276.201527226,55.9487095869,615.057286886,798.926452132,0.0,10446.2492258,1810.93748974,2792.72228529,888.352987831,2520.99997748,1800.49626142,811.130262963,1439.53214503,980.718197137,1948.78382352,1383.46539875,4531.78355833,1579.8932534,1201.58831388,689.871784152,13507.9237975,4034.2600951,898.346769227,1299.43509599,2575.20159323,1956.84191798,1568.88185761,2547.73689535,957.563209953,788.853424432,627.117777783,1395.39629856,4295.44608026,1109.47839978,3259.69312135,2330.80379054,1957.59851305,3318.37211194,3482.19819565,3951.74835666,3222.56915211,2634.62334334,1967.32150348,1192.44646209,1787.20595104,911.273716698,3054.96980505,1349.88206984,932.645564799,694.791613518,1367.25118004,1448.7350899
BD.DA.DH,3615.13971038,3335.49985915,1799.86608535,1209.52734852,3010.93241479,2160.21944934,846.211519025,3614.96319962,2841.5056004,15262.2631326,6899.50704947,5033.15578971,2449.23611492,1153.071408,2655.31000038,5421.13911539,1206.44571688,0.0,2093.67902825,2586.55756519,1678.9018562,5451.88863072,4233.41716887,1302.56046526,919.774642923,892.318125748,1737.38031948,2150.20647754,8909.17246126,4232.78117172,1564.67165734,1199.86697148,31429.5632902,5115.88042511,2968.64251222,2813.18897981,5898.43397644,3920.58794946,4892.49181101,4888.24491768,1604.17492081,1763.32939579,1236.99307699,4480.76476345,9120.50834492,2729.52286918,8081.98911353,4626.35720066,5202.34474588,5101.45431371,8165.89308636,6235.81225232,9314.83409697,6646.23906568,5789.74127167,3706.12511222,5538.68045785,2977.66545281,8639.22667531,4268.15323349,3578.91984871,3737.71167969,4943.70072028,7252.99908387
BD.DA.FR,1920.61710895,1984.06173908,953.177747462,610.614060157,1673.34873919,1057.1804022,563.912526283,3733.76171946,2294.974962,10485.0158994,6117.88349141,3266.53915472,1815.03371948,872.991847868,1790.88589354,3646.79241991,870.991172093,8719.12680241,0.0,3924.00992116,538.763273997,4280.55837522,4338.76666996,571.143821613,809.526550165,1002.39398372,2735.25357801,2700.79258891,8415.77727264,3808.86122273,560.899687175,788.555669704,25405.4145584,4862.45448803,1396.78903674,1278.46126055,2255.21402845,1563.69739764,2225.57062712,2421.35390298,461.535439991,871.018731626,370.494027046,2101.8082615,6394.52051151,1846.12297719,5150.51904148,2790.98556807,3131.37679848,2814.3670146,4814.89603882,4499.40184637,6255.98304624,4813.00087455,4216.70457913,2588.64156866,3789.39570306,2001.46896802,6043.82678893,2818.42261798,3249.0449945,3122.02908994,4239.31089461,5890.9095972
BD.DA.GZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
