link_no,start_location_lrp,start_location_offset,start_location_chainage,end_location_lrp,end_location_offset,end_location_chainage,length,heavy_truck_aadt,medium_truck_aadt,small_truck_aadt,large_bus_aadt,medium_bus_aadt,micro_bus_aadt,utility,car_aadt,total_motorized_aadt
Z1135-1,LRPS,0,0,LRPS,2566,2.566,2.566,0,0,67,0,0,19,3,10,994
Z1136-1,LRPS,0,0,LRPS,1822,1.822,1.822,0,0,67,0,0,19,3,10,994
Z1201-1,LRPS,0,0,LRP006,927,7.01,7.01,0,100,170,0,0,69,32,63,2789
Z1201-2,LRP006,927,7.01,LRPE,0,9.66,2.65,na,na,na,na,na,na,na,na,na
Z1202-1,LRPS,0,0,LRP007,3679,10.78,10.78,7,119,55,0,67,36,20,33,1719
Z1202-2,LRP007,3679,10.78,LRPE,0,15.057,4.277,na,na,na,na,na,na,na,na,na
Z1205-1,LRPS,0,0,LRPS,160,0.16,0.16,na,na,na,na,na,na,na,na,na
Z1205-2,LRPS,160,0.16,LRP003,1045,4.17,4.01,0,146,220,9,29,170,65,88,5425
Z1205-3,LRP003,1045,4.17,LRPE,0,21.57,17.4,na,na,na,na,na,na,na,na,na
Z1206-1,LRPS,0,0,LRP028,465,28.86,28.86,0,145,211,10,26,170,65,100,5371
Z1210-1,LRPS,0,0,LRPS,13639,13.639,13.639,0,0,147,1,0,124,35,28,4779
Z1216-1,LRPS,0,0,LRP009,1732,10.59,10.59,2,96,206,0,66,114,27,49,3642
Z1219-1,LRPS,0,0,LRP008,690,8.72,8.72,na,na,na,na,na,na,na,na,na
Z1219-2,LRP008,690,8.72,LRPE,0,16.52,7.8,na,na,na,na,na,na,na,na,na
Z1220-1,LRPS,0,0,LRPS,16554,16.554,16.554,na,na,na,na,na,na,na,na,na
Z1221-1,LRPS,0,0,LRP016,10000,25.67,25.67,0,9,80,0,0,10,0,0,741
Z1401-1,LRPS,0,0,LRP009,1440,9.499,9.499,1,194,231,1,156,111,12,61,2647
Z1401-2,LRP009,1440,9.499,LRP017,917,16.986,7.487,na,na,na,na,na,na,na,na,na
Z1401-3,LRP017,917,16.986,LRPE,0,32.385,15.399,na,na,na,na,na,na,na,na,na
Z1402-1,LRPS,0,0,LRP010,3425,13.632,13.632,0,75,68,0,38,44,1,72,1693
Z1402-2,LRP010,3425,13.632,LRP019,1354,20.429,6.797,0,75,68,0,38,44,1,72,1693
Z1402-3,LRP019,1354,20.429,LRPE,0,43.849,23.42,na,na,na,na,na,na,na,na,na
Z1403-1,LRPS,0,0,LRPS,10100,10.1,10.1,0,0,122,0,0,42,0,51,2349
Z1405-1,LRPS,0,0,LRPS,1552,1.552,1.552,na,na,na,na,na,na,na,na,na
Z1405-2,LRPS,1552,1.552,LRP008,388,8.511,6.959,0,142,206,31,97,218,21,19,2874
Z1405-3,LRP008,388,8.511,LRP067,458,66.4,57.889,na,na,na,na,na,na,na,na,na
Z1405-4,LRP067,458,66.4,LRPE,0,71.689,5.289,na,na,na,na,na,na,na,na,na
Z1407-1,LRPS,0,0,LRP012,877,12.973,12.973,0,32,75,0,1,24,7,12,1070
Z1407-2,LRP012,877,12.973,LRP023,149,22.923,9.95,na,na,na,na,na,na,na,na,na
Z1407-3,LRP023,149,22.923,LRPE,0,29.513,6.59,na,na,na,na,na,na,na,na,na
Z1411-1,LRPS,0,0,LRP020,2305,19.71,19.71,0,24,97,0,0,20,0,5,1168
Z1412-1,LRPS,0,0,LRPS,2529,2.529,2.529,na,na,na,na,na,na,na,na,na
Z1412-2,LRPS,2529,2.529,LRPE,0,30.58,28.051,0,2,138,0,1,47,0,18,2236
Z1413-1,LRPS,0,0,LRP012,1680,13.348,13.348,0,0,106,0,0,50,0,0,1420
Z1414-1,LRPS,0,0,LRP003,5200,8.02,8.02,22,208,249,53,0,64,6,20,2831
Z1416-1,LRPS,0,0,LRP005,2511,7.465,7.465,0,43,32,0,0,33,0,3,1345
Z1416-2,LRP005,2511,7.465,LRPE,0,8.883,1.418,na,na,na,na,na,na,na,na,na
Z1417-1,LRPS,0,0,LRPS,2520,2.52,2.52,na,na,na,na,na,na,na,na,na
Z1417-2,LRPS,2520,2.52,LRPE,0,13.2,10.68,na,na,na,na,na,na,na,na,na
Z1420-1,LRPS,0,0,LRP012,5,11.7,11.7,2,45,122,0,0,37,1,9,3486
Z1421-1,LRPS,0,0,LRPS,964,0.964,0.964,na,na,na,na,na,na,na,na,na
Z1421-2,LRPS,964,0.964,LRP006,530,5.54,4.576,na,na,na,na,na,na,na,na,na
Z1421-3,LRP006,530,5.54,LRP015,1272,14.322,8.782,0,101,138,0,86,36,16,35,2172
Z1421-4,LRP015,1272,14.322,LRPE,0,24.372,10.05,na,na,na,na,na,na,na,na,na
Z1422-1,LRPS,0,0,LRP017,2054,17.61,17.61,9,267,302,111,2,116,7,55,3953
Z1422-2,LRP017,2054,17.61,LRPE,0,37.42,19.81,na,na,na,na,na,na,na,na,na
Z1423-1,LRPS,0,0,LRP009,1798,10.189,10.189,0,12,113,0,0,2,0,0,564
Z1424-1,LRPS,0,0,LRP029,360,28.7,28.7,1,140,265,10,126,101,21,14,3102
Z1425-1,LRPS,0,0,LRP001,14375,15.39,15.39,0,3,18,0,0,12,0,0,1528
Z1426-1,LRPS,0,0,LRP013,1015,13.295,13.295,0,13,18,0,0,17,29,12,1832
Z1429-1,LRPS,0,0,LRP018,304,17.254,17.254,0,35,117,0,0,3,0,4,2373
Z1429-2,LRP018,304,17.254,LRPE,0,29.709,12.455,na,na,na,na,na,na,na,na,na
Z1430-1,LRPS,0,0,LRP009,6739,14.49,14.49,0,78,0,0,5,0,0,4,1307
Z1430-2,LRP009,6739,14.49,LRP019,8920,26.479,11.989,0,78,0,0,5,0,0,4,1307
Z1432-1,LRPS,0,0,LRP009,1011,8.721,8.721,0,34,64,0,0,5,1,1,968
Z1433-1,LRPS,0,0,LRP010,6,10.2,10.2,0,34,64,0,0,5,1,1,968
Z1434-1,LRPS,0,0,LRP019,1018,19.803,19.803,0,0,111,0,0,20,0,0,1396
Z1436-1,LRPS,0,0,LRP008,1010,8.55,8.55,0,57,63,0,0,14,1,6,815
Z1437-1,LRPS,0,0,LRPE,0,3.164,3.164,na,na,na,na,na,na,na,na,na
Z1438-1,LRPS,0,0,LRPE,0,17.45,17.45,na,na,na,na,na,na,na,na,na
Z1439-1,LRPS,0,0,LRPE,0,33.85,33.85,na,na,na,na,na,na,na,na,na
Z1440-1,LRPS,0,0,LRPS,440,0.44,0.44,0,86,63,2,0,74,8,29,2214
Z1441-1,LRPS,0,0,LRP003,119,3.146,3.146,0,86,63,2,0,74,8,29,2214
Z1441-2,LRP003,119,3.146,LRP021,208,21.462,18.316,0,86,63,2,0,74,8,29,2214
Z1441-3,LRP021,208,21.462,LRP029,1534,30.26,8.798,0,42,73,23,35,63,11,75,3011
Z1442-1,LRPS,0,0,LRPS,2400,2.4,2.4,0,25,33,0,0,9,13,0,1006
Z1443-1,LRPS,0,0,LRP007,537,7.628,7.628,0,25,33,0,0,9,13,0,1006
Z1443-2,LRP007,537,7.628,LRP012,1010,12.8,5.172,0,25,33,0,0,9,13,0,1006
Z1444-1,LRPS,0,0,LRPS,5756,5.756,5.756,0,158,183,0,0,174,24,61,2540
Z1444-2,LRPS,5756,5.756,LRP017,54,16.642,10.886,0,158,183,0,0,174,24,61,2540
Z1445-1,LRPS,0,0,LRP008,6935,14.422,14.422,0,79,68,0,1,22,6,29,982
Z1445-2,LRP008,6935,14.422,LRP008,12249,19.736,5.314,0,79,68,0,1,22,6,29,982
Z1447-1,LRPS,0,0,LRP001,785,0.84,0.84,0,11,65,0,0,12,6,5,889
Z1448-1,LRPS,0,0,LRP008,891,7.464,7.464,0,11,65,0,0,12,6,5,889
Z1449-1,LRPS,0,0,LRPS,1601,1.601,1.601,0,17,24,0,0,0,22,0,503
Z1450-1,LRPS,0,0,LRPS,1120,1.12,1.12,0,17,24,0,0,0,22,0,503
Z1452-1,LRPS,0,0,LRPS,1210,1.21,1.21,0,17,24,0,0,0,22,0,503
Z1466-1,LRPS,0,0,LRP007a,1575,9.23,9.23,0,17,36,0,0,14,0,1,654
Z1472-1,LRPS,0,0,LRP009,285,8.845,8.845,0,0,6,0,0,1,0,1,365
Z1482-1,LRPS,0,0,LRP011,1407,12.302,12.302,0,0,19,0,0,8,0,6,1038
Z1482-2,LRP011,1407,12.302,LRPE,0,16.736,4.434,na,na,na,na,na,na,na,na,na
Z1504-1,LRPS,0,0,LRP002,19,2.043,2.043,0,256,165,28,72,144,28,69,1238
Z1508-1,LRPS,0,0,LRP025,13289,38,38,0,3,26,0,0,10,7,2,357
Z1510-1,LRPS,0,0,LRP028,1770,28.15,28.15,0,3,26,0,0,10,7,2,357
Z1601-1,LRPS,0,0,LRP012,1935,13.835,13.835,0,5,2,0,22,0,60,3,1019
Z1602-2,LRPS,0,0,LRPS,22020,22.02,22.02,0,240,164,136,124,192,51,126,1480
Z1603-1,LRPS,0,0,LRP019,496,19.961,19.961,0,92,220,38,56,132,160,41,5802
Z1603-2,LRP019,496,19.961,LRP020,335,20.78,0.819,na,na,na,na,na,na,na,na,na
Z1603-3,LRP020,335,20.78,LRP026,1550,28.055,7.275,na,na,na,na,na,na,na,na,na
Z1603-4,LRP026,1550,28.055,LRPE,0,65.254,37.199,0,92,220,38,56,132,160,41,5802
Z1604-1,LRPS,0,0,LRP026,100,24.925,24.925,0,26,35,0,74,31,148,15,697
Z1605-1,LRPS,0,0,LRP040,1310,40.625,40.625,0,23,42,3,14,3,47,4,353
Z1606-1,LRPS,0,0,LRP020,375,19.475,19.475,0,0,29,0,0,8,94,0,260
Z1608-1,LRPS,0,0,LRP040,6170,45.87,45.87,0,40,17,0,42,8,62,6,940
Z1610-1,LRPS,0,0,LRP015,6275,21.165,21.165,0,28,31,0,0,3,64,18,1236
Z1611-1,LRPS,0,0,LRPS,1500,1.5,1.5,0,28,31,0,0,3,64,18,1236
Z1612-1,LRPS,0,0,LRP008,418,8.428,8.428,0,0,0,0,0,0,30,0,287
Z1617-1,LRPS,0,0,LRPS,15545,15.545,15.545,na,na,na,na,na,na,na,na,na
Z1618-1,LRPS,0,0,LRP010,835,10.982,10.982,0,563,493,0,0,599,378,471,4618
Z1619-1,LRPS,0,0,LRPS,24372,24.372,24.372,0,82,135,0,70,97,57,67,2366
Z1620-1,LRPS,0,0,LRPS,4108,4.108,4.108,0,85,72,0,0,51,30,56,4247
Z1623-1,LRPS,0,0,LRP006,4465,10.24,10.24,0,20,25,0,0,25,46,42,1243
Z1629-1,LRPS,0,0,LRP011,1937,12.4,12.4,0,156,32,0,0,111,79,12,2396
Z1629-2,LRP011,1937,12.4,LRPE,0,14.835,2.435,na,na,na,na,na,na,na,na,na
Z1636-1,LRPS,0,0,LRP010,4802,14.802,14.802,0,0,0,0,0,0,0,2,839
Z1637-1,LRPS,0,0,LRP001,1180,2.21,2.21,0,0,0,0,0,0,0,2,839
Z1703-1,LRPS,0,0,LRPS,6530,6.53,6.53,0,54,118,0,0,37,18,31,1471
Z1802-1,LRPS,0,0,LRPS,2060,2.06,2.06,0,0,370,0,0,343,62,423,5215
Z1802-2,LRPS,2060,2.06,LRPE,0,9.524,7.464,na,na,na,na,na,na,na,na,na
Z1804-1,LRPS,0,0,LRPS,3502,3.502,3.502,0,450,353,0,0,94,12,51,2080
Z1806-1,LRPS,0,0,LRPS,2500,2.5,2.5,na,na,na,na,na,na,na,na,na
Z1811-1,LRPS,0,0,LRP019,237,18.285,18.285,0,76,32,0,45,51,103,22,875
Z1811-2,LRP019,237,18.285,LRP075,40571,113.185,94.9,na,na,na,na,na,na,na,na,na
Z1811-3,LRP075,40571,113.185,LRP144,44675,186.321,73.136,na,na,na,na,na,na,na,na,na
Z1811-4,LRP144,44675,186.321,LRPE,0,196.937,10.616,na,na,na,na,na,na,na,na,na
Z1812-1,LRPS,0,0,LRP024,563,24.61,24.61,0,114,0,0,120,119,111,0,622
Z1813-1,LRPS,0,0,LRP020,1000,20.05,20.05,0,25,35,28,0,35,153,32,1420
Z1814-1,LRPS,0,0,LRP019,1328,20.25,20.25,0,18,38,0,24,11,11,0,1032
Z1824-1,LRPS,0,0,LRPS,2792,2.792,2.792,0,6,93,0,0,11,0,7,1164
Z1824-2,LRPS,2792,2.792,LRPS,15600,15.6,12.808,0,6,93,0,0,11,0,7,1164
Z2002-1,LRPS,0,0,LRP019,898,19.918,19.918,0,61,71,0,22,115,51,122,2320
Z2002-2,LRP019,898,19.918,LRPE,0,33.089,13.171,na,na,na,na,na,na,na,na,na
Z2003-1,LRPS,0,0,LRP018,595,18.657,18.657,0,51,69,0,71,118,58,41,2528
Z2003-2,LRP018,595,18.657,LRPE,0,41.085,22.428,na,na,na,na,na,na,na,na,na
Z2008-1,LRPS,0,0,LRPS,12780,12.78,12.78,0,159,146,122,0,258,39,128,2086
Z2009-1,LRPS,0,0,LRPS,2905,2.905,2.905,0,151,139,121,0,255,38,127,2052
Z2010-1,LRPS,0,0,LRPS,2380,2.38,2.38,na,na,na,na,na,na,na,na,na
Z2011-1,LRPS,0,0,LRP019,5673,24.703,24.703,0,97,109,0,79,373,32,27,1679
Z2012-1,LRPS,0,0,LRP016,30,16.25,16.25,0,23,25,0,6,143,6,14,398
Z2013-1,LRPS,0,0,LRP024,575,25.045,25.045,0,115,59,0,6,188,4,69,5704
Z2014-1,LRPS,0,0,LRP004,690,4.095,4.095,1,108,61,0,187,593,221,371,3238
Z2016-1,LRPS,0,0,LRP017,865,16.96,16.96,0,69,55,0,100,211,158,200,4133
Z2020-1,LRPS,0,0,LRP003,6897,9.742,9.742,1,186,25,0,101,71,39,24,1216
Z2031-1,LRPS,0,0,LRPE,0,21,21,na,na,na,na,na,na,na,na,na
Z2032-1,LRPS,0,0,LRPS,5705,5.705,5.705,0,0,0,0,0,0,15,0,423
Z2034-1,LRPS,0,0,LRP022,1020,22.62,22.62,0,7,39,0,1,8,0,17,975
Z2035-1,LRPS,0,0,LRPS,15603,15.603,15.603,0,7,39,0,1,8,0,17,975
Z2036-1,LRPS,0,0,LRP007,7223,14.099,14.099,0,0,97,0,0,28,8,52,3225
Z2037-1,LRPS,0,0,LRPS,5081,5.081,5.081,0,205,111,1,172,114,30,96,2414
Z2037-2,LRPS,5081,5.081,LRPE,0,12.105,7.024,na,na,na,na,na,na,na,na,na
Z2038-1,LRPS,0,0,LRPS,4396,4.396,4.396,0,22,56,0,0,4,5,3,464
Z2039-1,LRPS,0,0,LRP004,917,4.392,4.392,0,123,37,0,149,64,11,86,3320
Z2039-2,LRP004,917,4.392,LRPE,0,12.156,7.764,na,na,na,na,na,na,na,na,na
Z2041-1,LRPS,0,0,LRP007,1179,8.32,8.32,0,131,104,2,4,53,2,40,3806
Z2042-1,LRPS,0,0,LRP008,664,8.648,8.648,0,144,133,16,28,43,19,82,1991
Z2044-1,LRPS,0,0,LRP007,303,6.351,6.351,1,193,158,1,6,45,15,44,1960
Z2044-2,LRP007,303,6.351,LRPE,0,25.067,18.716,na,na,na,na,na,na,na,na,na
Z2045-1,LRPS,0,0,LRP005,2560,7.538,7.538,1,205,163,5,2,77,19,55,1912
Z2045-2,LRP005,2560,7.538,LRP014,1000,14.899,7.361,na,na,na,na,na,na,na,na,na
Z2045-3,LRP014,1000,14.899,LRPE,0,18.77,3.871,na,na,na,na,na,na,na,na,na
Z2047-1,LRPS,0,0,LRP001,667,1.649,1.649,0,271,103,0,33,66,5,45,4206
Z2047-2,LRP001,667,1.649,LRPE,0,16.022,14.373,na,na,na,na,na,na,na,na,na
Z2049-1,LRPS,0,0,LRP004,237,4.447,4.447,0,61,43,3,55,29,37,23,3422
Z2055-1,LRPS,0,0,LRPE,0,16.521,16.521,na,na,na,na,na,na,na,na,na
Z2115-1,LRPS,0,0,LRP003,1157,4.172,4.172,0,13,0,0,0,1,0,3,818
Z2121-1,LRPS,0,0,LRP008,819,8.007,8.007,0,29,109,0,0,31,22,23,2265
Z2122-1,LRPS,0,0,LRPS,5617,5.617,5.617,0,28,31,0,0,12,12,21,1011
Z2122-2,LRPS,5617,5.617,LRPS,10551,10.551,4.934,0,28,31,0,0,12,12,21,1011
Z2123-1,LRPS,0,0,LRP004,3323,7.415,7.415,0,45,20,0,1,41,10,11,1764
Z2403-1,LRPS,0,0,LRPS,16660,16.66,16.66,0,205,296,4,48,266,9,34,3270
Z2403-2,LRPS,16660,16.66,LRPS,20165,20.165,3.505,na,na,na,na,na,na,na,na,na
Z2405-1,LRPS,0,0,LRP015,1416,16.758,16.758,0,12,17,0,47,10,9,8,405
Z2801-1,LRPS,0,0,LRP012,10790,22.58,22.58,na,na,na,na,na,na,na,na,na
Z2801-2,LRP012,10790,22.58,LRPE,0,30.398,7.818,na,na,na,na,na,na,na,na,na
Z2802-1,LRPS,0,0,LRP012,295,12.35,12.35,0,226,164,64,141,130,13,94,3724
Z2802-2,LRP012,295,12.35,LRPE,0,25.83,13.48,na,na,na,na,na,na,na,na,na
Z2804-1,LRPS,0,0,LRP013,234,13.234,13.234,0,226,164,64,141,130,13,94,3724
Z2804-2,LRP013,234,13.234,LRPE,0,16.14,2.906,na,na,na,na,na,na,na,na,na
Z2805-1,LRPS,0,0,LRP013,5964,18.964,18.964,0,0,0,0,0,0,0,0,0
Z2806-1,LRPS,0,0,LRPS,17000,17,17,0,0,186,0,0,0,0,0,1407
Z2807-1,LRPS,0,0,LRP024,21885,46,46,0,123,131,0,153,671,16,60,1714
Z2808-1,LRPS,0,0,LRPS,7764,7.764,7.764,0,123,131,0,153,671,16,60,1714
Z2809-1,LRPS,0,0,LRPS,5020,5.02,5.02,0,9,9,0,0,655,108,356,2301
Z2810-1,LRPS,0,0,LRPS,11820,11.82,11.82,0,1,7,0,0,144,3,3,540
Z2811-1,LRPS,0,0,LRPS,18000,18,18,0,1,7,0,0,144,3,3,540
Z2812-1,LRPS,0,0,LRPS,5104,5.104,5.104,1,217,166,113,38,1010,18,575,7691
Z2813-1,LRPS,0,0,LRPS,40590,40.59,40.59,1,217,166,113,38,1010,18,575,7691
Z2822-1,LRPS,0,0,LRP006,18020,24,24,0,55,43,0,48,75,5,40,2007
Z2823-1,LRPS,0,0,LRP022,1000,22.38,22.38,0,97,111,0,81,120,22,57,1450
Z2824-1,LRPS,0,0,LRPS,15184,15.184,15.184,na,na,na,na,na,na,na,na,na
Z2831-1,LRPS,0,0,LRPS,2875,2.875,2.875,0,56,77,0,88,84,24,51,1521
Z2832-1,LRPS,0,0,LRP015,10,14.48,14.48,0,59,76,1,76,388,12,47,2334
Z2834-1,LRPS,0,0,LRP151,21080,171.4,171.4,0,59,76,1,76,388,12,47,2334
Z3003-1,LRPS,0,0,LRPS,10123,10.123,10.123,0,0,16,0,0,14,0,18,703
Z3004-1,LRPS,0,0,LRPS,8000,8,8,na,na,na,na,na,na,na,na,na
Z3005-1,LRPS,0,0,LRPS,3429,3.429,3.429,0,16,306,0,0,283,62,543,5099
Z3006-1,LRPS,0,0,LRPE,0,5.735,5.735,na,na,na,na,na,na,na,na,na
Z3007-1,LRPS,0,0,LRP006,772,5.742,5.742,0,434,188,0,0,622,0,720,4803
Z3008-1,LRPS,0,0,LRPS,2851,2.851,2.851,0,146,90,1,2,91,43,64,994
Z3008-2,LRPS,2851,2.851,LRPE,0,6.721,3.87,na,na,na,na,na,na,na,na,na
Z3009-1,LRPS,0,0,LRP001,4276,5.376,5.376,0,89,109,0,80,46,12,61,1845
Z3010-1,LRPS,0,0,LRP009,114,8.357,8.357,0,84,42,0,1,16,7,25,1444
Z3012-1,LRPS,0,0,LRPS,2925,2.925,2.925,0,84,42,0,1,16,7,25,1444
Z3024-1,LRPS,0,0,LRP011,15808,26,26,0,160,89,2,136,165,27,87,1212
Z3025-1,LRPS,0,0,LRP012,465,12.301,12.301,0,75,154,0,0,10,2,18,1048
Z3025-2,LRP012,465,12.301,LRPE,0,25.453,13.152,na,na,na,na,na,na,na,na,na
Z3026-1,LRPS,0,0,LRP004,3,4.015,4.015,1,42,100,0,4,16,0,17,1555
Z3030-1,LRPS,0,0,LRP023,3079,26.077,26.077,0,35,34,3,1,77,0,32,1866
Z3031-1,LRPS,0,0,LRP020,982,20.67,20.67,1,285,737,5,85,302,7,181,5323
Z3032-1,LRPS,0,0,LRP027,1199,28.702,28.702,0,83,143,75,56,36,16,19,2565
Z3033-1,LRPS,0,0,LRP001,393,0.927,0.927,na,na,na,na,na,na,na,na,na
Z3033-2,LRP001,393,0.927,LRP024,1425,25.65,24.723,0,79,34,70,9,125,32,131,5906
Z3033-3,LRP024,1425,25.65,LRP037,1028,38.362,12.712,na,na,na,na,na,na,na,na,na
Z3033-4,LRP037,1028,38.362,LRPE,0,66.557,28.195,na,na,na,na,na,na,na,na,na
Z3034-1,LRPS,0,0,LRP014,288,13.31,13.31,11,463,97,24,35,92,190,106,1977
Z3034-2,LRP014,288,13.31,LRP019,305,18.386,5.076,11,463,97,24,35,92,190,106,1977
Z3034-3,LRP019,305,18.386,LRP024,43,23.097,4.711,11,463,97,24,35,92,190,106,1977
Z3035-1,LRPS,0,0,LRP003,64,2.824,2.824,na,na,na,na,na,na,na,na,na
Z3035-2,LRP003,64,2.824,LRP019,580,19.36,16.536,0,52,68,63,67,74,34,70,1408
Z3036-1,LRPS,0,0,LRPE,0,1.224,1.224,na,na,na,na,na,na,na,na,na
Z3037-1,LRPS,0,0,LRP048,796,49.145,49.145,0,348,243,0,46,86,23,37,2047
Z3037-2,LRP048,796,49.145,LRP061,115,61.205,12.06,0,160,166,0,0,21,0,21,1184
Z3038-1,LRPS,0,0,LRPE,0,2.415,2.415,na,na,na,na,na,na,na,na,na
Z3039-1,LRPS,0,0,LRPS,1376,1.376,1.376,0,0,106,0,0,0,13,27,999
Z3040-1,LRPS,0,0,LRP021,960,20.351,20.351,0,0,106,0,0,0,13,27,999
Z3041-1,LRPS,0,0,LRPS,540,0.54,0.54,0,0,106,0,0,0,13,27,999
Z3042-1,LRPS,0,0,LRPE,0,4.604,4.604,na,na,na,na,na,na,na,na,na
Z3601-1,LRPS,0,0,LRP014,3528,17.6,17.6,0,111,182,0,0,6,5,11,1213
Z3602-1,LRPS,0,0,LRP027,1061,27.256,27.256,0,19,186,0,0,29,28,25,1626
Z3603-1,LRPS,0,0,LRP019,17906,37,37,0,261,184,126,0,125,110,140,6233
Z3604-1,LRPS,0,0,LRP002,816,2.921,2.921,na,na,na,na,na,na,na,na,na
Z3604-2,LRP002,816,2.921,LRPE,0,17.111,14.19,0,80,580,9,0,46,25,20,3516
Z3605-1,LRPS,0,0,LRPE,0,14.278,14.278,na,na,na,na,na,na,na,na,na
Z3607-1,LRPS,0,0,LRP015,2269,16.324,16.324,0,142,135,70,0,41,27,27,1363
Z3608-1,LRPS,0,0,LRP022,104,21.114,21.114,0,256,78,97,13,23,8,17,1672
Z3609-1,LRPS,0,0,LRP003,961,4,4,0,0,68,0,0,11,0,17,1236
Z3615-1,LRPS,0,0,LRP022,67,21.743,21.743,0,38,106,0,1,17,0,0,979
Z3616-1,LRPS,0,0,LRP015,1,15.41,15.41,0,139,33,5,110,29,10,31,1025
Z3617-1,LRPS,0,0,LRPE,0,12.004,12.004,na,na,na,na,na,na,na,na,na
Z3623-1,LRPS,0,0,LRPE,0,19,19,na,na,na,na,na,na,na,na,na
Z3701-1,LRPS,0,0,LRPS,1630,1.63,1.63,na,na,na,na,na,na,na,na,na
Z3701-2,LRPS,1630,1.63,LRPE,0,54.995,53.365,0,83,52,44,18,14,19,7,919
Z3703-1,LRPS,0,0,LRP020,711,21.051,21.051,0,206,141,28,61,12,15,12,1471
Z3704-1,LRPS,0,0,LRPS,1553,1.553,1.553,0,445,119,5,1,113,20,9,3416
Z3705-1,LRPS,0,0,LRPS,11184,11.184,11.184,0,445,119,5,1,113,20,9,3416
Z3706-1,LRPS,0,0,LRP028,286,26.856,26.856,0,82,48,0,56,2,13,6,1173
Z3707-1,LRPS,0,0,LRPS,13800,13.8,13.8,0,61,65,0,0,11,3,7,890
Z3707-2,LRPS,13800,13.8,LRPE,0,42.78,28.98,na,na,na,na,na,na,na,na,na
Z3708-1,LRPS,0,0,LRPE,0,5.488,5.488,na,na,na,na,na,na,na,na,na
Z3709-1,LRPS,0,0,LRP003,23265,26,26,0,67,56,0,21,27,32,19,1088
Z3710-1,LRPS,0,0,LRPS,27184,27.184,27.184,0,57,66,0,0,12,35,31,952
Z3711-1,LRPS,0,0,LRP020,309,20.29,20.29,0,218,312,169,101,126,18,67,3223
Z3711-2,LRP020,309,20.29,LRPE,0,27.021,6.731,na,na,na,na,na,na,na,na,na
Z3712-1,LRPS,0,0,LRP019,1290,20.27,20.27,0,91,154,17,0,86,34,38,2074
Z3713-1,LRPS,0,0,LRP001,6159,6.951,6.951,0,0,20,0,0,0,26,0,436
Z4007-1,LRPS,0,0,LRPS,6916,6.916,6.916,0,328,206,0,180,167,64,197,2484
Z4007-2,LRPS,6916,6.916,LRPS,14204,14.204,7.288,0,328,206,0,180,167,64,197,2484
Z4009-1,LRPS,0,0,LRP003,10730,13.73,13.73,0,328,206,0,180,167,64,197,2484
Z4011-1,LRPS,0,0,LRP002,24776,26.776,26.776,0,328,206,0,180,167,64,197,2484
Z4012-1,LRPS,0,0,LRP022,304,22.416,22.416,0,760,575,0,21,89,32,109,7232
Z4015-1,LRPS,0,0,LRP008,2949,11.019,11.019,0,51,121,1,0,53,31,80,3024
Z4016-1,LRPS,0,0,LRP011,11857,22.865,22.865,0,110,174,0,0,63,0,51,2029
Z4017-1,LRPS,0,0,LRP021,949,22.062,22.062,1,326,122,187,13,36,26,45,2658
Z4018-1,LRPS,0,0,LRPE,0,29.824,29.824,na,na,na,na,na,na,na,na,na
Z4019-1,LRPS,0,0,LRPS,11136,11.136,11.136,na,na,na,na,na,na,na,na,na
Z4020-1,LRPS,0,0,LRP012,4614,15.482,15.482,na,na,na,na,na,na,na,na,na
Z4021-1,LRPS,0,0,LRP005,21989,27.019,27.019,20,235,308,17,8,42,20,35,2298
Z4021-2,LRP005,21989,27.019,LRPE,0,39.125,12.106,na,na,na,na,na,na,na,na,na
Z4022-1,LRPS,0,0,LRP025,4614,28.5,28.5,0,88,58,1,5,15,10,21,3440
Z4023-1,LRPS,0,0,LRP007,665,7.695,7.695,0,141,150,57,0,39,22,33,1554
Z4023-2,LRP007,665,7.695,LRPE,0,23.54,15.845,na,na,na,na,na,na,na,na,na
Z4024-1,LRPS,0,0,LRPS,3654,3.654,3.654,0,141,150,57,0,39,22,33,1554
Z4025-1,LRPS,0,0,LRP020,20,16.75,16.75,0,91,144,0,2,22,13,24,3717
Z4101-1,LRPS,0,0,LRP015,530,15.38,15.38,0,226,185,63,4,65,32,79,2805
Z4101-2,LRP015,530,15.38,LRPE,0,37.7,22.32,na,na,na,na,na,na,na,na,na
Z4104-1,LRPS,0,0,LRP015,54,15.054,15.054,0,73,124,3,25,9,12,54,936
Z4105-1,LRPS,0,0,LRP015,673,15.546,15.546,0,43,44,0,0,2,0,0,871
Z4602-1,LRPS,0,0,LRP010,2138,11.754,11.754,0,129,131,9,53,28,19,34,1648
Z4603-1,LRPS,0,0,LRPE,0,13.9,13.9,0,124,168,0,66,15,23,9,1516
Z4604-1,LRPS,0,0,LRP012,485,12.504,12.504,0,86,92,0,1,15,2,7,772
Z4605-1,LRPS,0,0,LRP008,940,8.58,8.58,0,103,108,21,46,24,9,13,1382
Z4605-2,LRP008,940,8.58,LRPE,0,12.515,3.935,na,na,na,na,na,na,na,na,na
Z4606-1,LRPS,0,0,LRP025,990,26.03,26.03,na,na,na,na,na,na,na,na,na
Z4606-2,LRP025,990,26.03,LRP028,915,28.95,2.92,0,104,35,20,0,104,39,45,1452
