link_no,start_location_lrp,start_location_offset,start_location_chainage,end_location_lrp,end_location_offset,end_location_chainage,length,heavy_truck_aadt,medium_truck_aadt,small_truck_aadt,large_bus_aadt,medium_bus_aadt,micro_bus_aadt,utility,car_aadt,total_motorized_aadt
R480-1,LRPS,0,0,LRP015,800,15.915,15.915,0,248,248,139,1,82,4,70,3242
R480-2,LRP015,800,15.915,LRP015,1748,16.863,0.948,0,248,248,139,1,82,4,70,3242
R480-3,LRP015,1748,16.863,LRP020,2206,22.402,5.539,0,248,248,139,1,82,4,70,3242
R504-1,LRPS,0,0,LRPE,0,33.907,33.907,0,155,185,0,196,193,25,121,3403
R506-1,LRPS,0,0,LRP017,6000,22.619,22.619,0,116,142,0,0,62,24,45,2041
R506-2,LRP017,6000,22.619,LRP031,9822,39.881,17.262,0,116,142,0,0,62,24,45,2041
R506-3,LRP031,9822,39.881,LRP052,1816,52.51,12.629,0,116,142,0,0,62,24,45,2041
R506-4,LRP052,1816,52.51,LRPE,0,53.733,1.223,0,116,142,0,0,62,24,45,2041
R543-1,LRPS,0,0,LRPE,0,1.92,1.92,0,190,218,0,0,152,34,57,3212
R544-1,LRPS,0,0,LRPE,0,25.7,25.7,0,190,218,0,0,152,34,57,3212
R545-1,LRPS,0,0,LRPS,1840,1.84,1.84,372,1374,1362,641,1050,736,124,363,9165
R545-2,LRPS,1840,1.84,LRP010,620,10.48,8.64,372,1374,1362,641,1050,736,124,363,9165
R545-3,LRP010,620,10.48,LRP019,1675,20.59,10.11,372,1374,1362,641,1050,736,124,363,9165
R545-4,LRP019,1675,20.59,LRP031,928,31.813,11.223,372,1374,1362,641,1050,736,124,363,9165
R545-5,LRP031,928,31.813,LRP038,600,38.565,6.752,372,1374,1362,641,1050,736,124,363,9165
R545-6,LRP038,600,38.565,LRP041,840,41.84,3.275,1,946,701,275,209,171,71,82,4554
R545-7,LRP041,840,41.84,LRP042,815,42.815,0.975,1,946,701,275,209,171,71,82,4554
R545-8,LRP042,815,42.815,LRP044,471,44.471,1.656,1,946,701,275,209,171,71,82,4554
R545-9,LRP044,471,44.471,LRP049,2350,51.35,6.879,1,946,701,275,209,171,71,82,4554
R545-10,LRP049,2350,51.35,LRP058,1057,59.057,7.707,6,1305,1038,242,583,218,71,114,6005
R545-11,LRP058,1057,59.057,LRP070,700,70.66,11.603,32,538,270,190,179,96,51,40,2396
R545-12,LRP070,700,70.66,LRP084,605,84.63,13.97,32,538,270,190,179,96,51,40,2396
R545-13,LRP084,605,84.63,LRP117,1350,118.18,33.55,13,208,201,0,179,55,11,33,2398
R545-14,LRP117,1350,118.18,LRPE,0,120.93,2.75,13,208,201,0,179,55,11,33,2398
R546-1,LRPS,0,0,LRP003,475,3.46,3.46,8,311,194,22,243,121,28,76,3769
R547-1,LRPS,0,0,LRPS,700,0.7,0.7,84,160,219,16,153,59,25,31,2442
R547-2,LRPS,700,0.7,LRP014,1905,15.93,15.23,84,160,219,16,153,59,25,31,2442
R547-3,LRP014,1905,15.93,LRP018,15510,33.25,17.32,0,381,396,62,239,132,41,46,2785
R547-4,LRP018,15510,33.25,LRP068,695,68.945,35.695,0,381,396,62,239,132,41,46,2785
R547-5,LRP068,695,68.945,LRP088,420,88.77,19.825,0,381,396,62,239,132,41,46,2785
R547-6,LRP088,420,88.77,LRP100,585,100.985,12.215,0,381,396,62,239,132,41,46,2785
R548-1,LRPS,0,0,LRP027,980,28.08,28.08,0,84,102,2,11,36,39,13,2946
R548-2,LRP027,980,28.08,LRP027,12885,39.985,11.905,0,84,102,2,11,36,39,13,2946
R548-3,LRP027,12885,39.985,LRPE,0,53.321,13.336,0,84,102,2,11,36,39,13,2946
R549-1,LRPS,0,0,LRP019,1065,20.29,20.29,1,64,94,0,96,14,2,5,1433
R550-1,LRPS,0,0,LRP004,1446,5.476,5.476,9,775,916,146,174,219,206,228,4770
R550-2,LRP004,1446,5.476,LRP024,20,24.06,18.584,9,775,916,146,174,219,206,228,4770
R550-3,LRP024,20,24.06,LRP028,580,28.63,4.57,9,775,916,146,174,219,206,228,4770
R550-4,LRP028,580,28.63,LRP032,250,32.22,3.59,9,775,916,146,174,219,206,228,4770
R550-5,LRP032,250,32.22,LRP036,900,36.84,4.62,9,775,916,146,174,219,206,228,4770
R555-1,LRPS,0,0,LRP016,1126,16.9,16.9,21,314,273,425,241,190,190,160,5433
R555-2,LRP016,1126,16.9,LRP016,4183,19.957,3.057,21,314,273,425,241,190,190,160,5433
R555-3,LRP016,4183,19.957,LRPE,0,21.015,1.058,21,314,273,425,241,190,190,160,5433
R556-1,LRPS,0,0,LRP023,900,23.241,23.241,104,198,173,18,54,59,76,23,2127
R556-2,LRP023,900,23.241,LRP025,690,24.771,1.53,104,198,173,18,54,59,76,23,2127
R556-3,LRP025,690,24.771,LRP033,550,32.64,7.869,104,198,173,18,54,59,76,23,2127
R556-4,LRP033,550,32.64,LRPE,0,35.131,2.491,104,198,173,18,54,59,76,23,2127
R557-1,LRPS,0,0,LRP013,3,12.943,12.943,14,110,188,8,3,104,84,84,2025
R558-1,LRPS,0,0,LRP005,600,5.08,5.08,6,206,75,3,18,155,16,61,1280
R560-1,LRPS,0,0,LRP012,50,11.69,11.69,78,1524,931,114,128,324,88,90,6939
R560-2,LRP012,50,11.69,LRP029,1060,29.16,17.47,78,1524,931,114,128,324,88,90,6939
R560-3,LRP029,1060,29.16,LRPE,0,57.13,27.97,78,1524,931,114,128,324,88,90,6939
R570-1,LRPS,0,0,LRP010,650,9.735,9.735,10,608,360,97,109,121,162,85,4856
R570-2,LRP010,650,9.735,LRP014,105,13.21,3.475,10,608,360,97,109,121,162,85,4856
R570-3,LRP014,105,13.21,LRPE,0,15.33,2.12,10,608,360,97,109,121,162,85,4856
R585-1,LRPS,0,0,LRP004,1675,4.675,4.675,184,1683,1359,159,279,142,42,138,6513
R585-2,LRP004,1675,4.675,LRP016,820,16.01,11.335,49,913,180,158,125,95,43,64,3288
R585-3,LRP016,820,16.01,LRP021,159,20.129,4.119,49,913,180,158,125,95,43,64,3288
R585-4,LRP021,159,20.129,LRP035,555,34.505,14.376,49,913,180,158,125,95,43,64,3288
R585-5,LRP035,555,34.505,LRP050,895,49.915,15.41,49,913,180,158,125,95,43,64,3288
