,Start date,End date,Country name,ISO,Location,Disaster type,Disaster subtype,Associated dis.,Associated dis2.,Total deaths,Total affected,Total damage,Insured loss,Disaster ID
242,01/10/2010,12/10/2010,Bangladesh,BGD,"Chittagong, Cox's Bazar, Feni, Lakshmipur, Noakhali districts (Chittagong province), Bagerhat, Khulna, Satkhira districts (Khulna province), Barisal province",Flood,Riverine flood,--,--,15,500000,--,--,2010-0676
243,01/05/2010,02/05/2010,Bangladesh,BGD,Mymensingh district (Dhaka province),Storm,Convective storm,Hail,--,15,50,--,--,2010-0686
244,21/07/2011,29/07/2011,Bangladesh,BGD,"Cox's Bazar, Chittagong, Bandarban districts (Chittagong province), Satkhira, Jessore, Narail, Bagerhat, Chuadanga, Kushtia districts (Khulna province), Bogra, Sirajganj, Pabna, Naogaon districts (Rajshahi province), Lalmonirhat, Thakurgaon, Kurigram, Gaibandha districts (Rangpur province), Sherpur, Netrakona, Rajbari, Manikganj districts (Dhaka province)",Flood,Flash flood,--,--,10,1570559,--,--,2011-0262
245,04/07/2011,04/07/2011.1,Bangladesh,BGD,"Chittagong city (Chittagong district, Chittagong province)",Landslide,Landslide.1,--,--,17,--,--,--,2011-0586
246,04/04/2011,04/04/2011.1,Bangladesh,BGD,"Sherpur, Jamalpur, Netrakona, Mymensingh districts (Dhaka province), Rangpur, Thakurgaon, Gaibandha districts (Rangpur province), Pabna district (Rajshahi province)",Storm,Convective storm,Hail,--,13,121,--,--,2011-0591
247,06/04/2012,06/04/2012.1,Bangladesh,BGD,"Panchagarh, Rangpur, Nilphamari districts (Rangpur province), Noakhali, Comilla districts (Chittagong province), Narsingdi, Jamalpur, Faridpur, Shariatpur districts (Dhaka province), Jessore, Satkhira, Khulna, Chuadanga districts (Khulna province), Rajshahi district (Rajshahi province), Sylhet district (Sylhet province), Bhola district (Barisal province)",Storm,Convective storm,Hail,--,25,55121,--,--,2012-0082
248,24/06/2012,02/07/2012,Bangladesh,BGD,"Chittagong, Bandarban, Cox's Bazar districts (Chittagong province), Sylhet district (Sylhet province)",Flood,Riverine flood,"Slide (land, mud, sn",--,139,5148475,--,--,2012-0175
249,21/09/2012,28/09/2012,Bangladesh,BGD,"Barisal, Bhola, Patuakhali districts (Barisal province), Dhaka, Faridpur, Jamalpur, Madaripur, Manikganj, Rajbari, Shariatpur, Tangail districts (Dhaka province), Bogra, Pabna, Sirajganj districts (Rajshahi province), Gaibandha, Kurigram districts (Rangpur province)",Flood,Riverine flood,--,--,--,250000,--,--,2012-0382
250,10/10/2012,10/10/2012.1,Bangladesh,BGD,"Hatiya, Companiganj, Subarnarchar areas (Noakhali district, Chittagong province), Monpura, Charfasson areas (Bhola district, Barisal province), Sandwip, Mirsharai areas (Chittagong district, Chittagong province)",Storm,Convective storm,--,--,108,129558,--,--,2012-0385
251,22/03/2013,22/03/2013.1,Bangladesh,BGD,"Sadar, Akhaura, Bijoynagar areas (Brahamanbaria district, Chittagong province)",Storm,Convective storm,--,--,31,8543,20000,--,2013-0085
252,29/03/2013,30/03/2013,Bangladesh,BGD,"Natore, Naogaon districts (Rajshahi province)",Storm,Convective storm,--,--,2,25020,--,--,2013-0090
253,16/05/2013,16/05/2013.1,Bangladesh,BGD,"Patuakhali, Bhola, Barguna districts (Barisal province)",Storm,Tropical cyclone,--,--,17,1498644,--,--,2013-0138
254,27/04/2014,28/04/2014,Bangladesh,BGD,"Sunamganj district (Sylhet province), Tangail, Netrakona districts (Dhaka province), Naogaon district (Rajshahi province)",Storm,Convective storm,--,--,16,4012,--,--,2014-0135
255,11/06/2014,11/06/2014.1,Bangladesh,BGD,Faridpur district (Dhaka province),Storm,Convective storm,--,--,4,1250,--,--,2014-0244
256,11/08/2014,10/09/2014,Bangladesh,BGD,"Lalmonirhat, Kurigram, Nilphamari, Rangpur, Gaibandha districts (Rangpur province), Bogra, Sirajganj districts (Rajshahi province), Sunamganj, Sylhet districts (Sylhet province), Sherpur, Netrakona, Munshiganj, Jamalpur, Tangail, Faridpur, Manikganj, Rajbari districts (Dhaka province), Bhola, Patuakhali, Barguna districts (Barisal province), Feni, Chittagong districts (Chittagong province)",Flood,Riverine flood,Broken Dam/Burst ban,--,59,2800447,160000,--,2014-0290
257,00/09/2014,00/09/2014.1,Bangladesh,BGD,"Bogra, Naogaon districts (Rajshahi province), Jamalpur, Mymensing, Netrokona districts (Dhaka province), Kurigram Lalmonirhat, Gaibandha districts (Rangpur province), Brahmanbaria district (Chittagong province)",Flood,--,--,--,--,400000,--,--,2014-0581
258,01/04/2015,07/04/2015,Bangladesh,BGD,"Bogra, Rajshahi, Naogaon, Sirajganj, Pabna districts (Rajshahi province), Brahamanbaria district (Chittagong province), Dhaka districts (Dhaka province)",Storm,Convective storm,Hail,Rain,53,20200,4000,--,2015-0118
259,02/05/2015,03/05/2015,Bangladesh,BGD,"Sunamganj district (Sylhet province), Jamalpur, Sherpur, Mymensingh districts (Dhaka province), Gaibandha, Dinajpur districts (Rangpur province), Bagerhat district (Khulna province)",Storm,Convective storm,--,--,13,--,--,--,2015-0213
260,23/06/2015,30/06/2015,Bangladesh,BGD,"Bandarban, Chittagong, Cox's Bazar districts (Chittagong province)",Flood,Riverine flood,"Slide (land, mud, sn",--,20,1401901,40000,--,2015-0253
261,25/07/2015,27/07/2015,Bangladesh,BGD,"Barisal district (Barisal province), Chittagong district (Chittagong province), Khulna district (Khulna province)",Flood,Riverine flood,"Slide (land, mud, sn",--,11,10000,--,--,2015-0293
262,29/07/2015,30/07/2015,Bangladesh,BGD,"Cox's Bazar, Chittagong, Noakhali, Feni, Bandarban districts (Chittagong province), Patuakhali, Bhola, Barguna districts (Barisla province)",Storm,Tropical cyclone,Flood,--,45,2600000,40000,--,2015-0309
263,18/07/2015,18/07/2015.1,Bangladesh,BGD,"Lalkhan Bazar area (Chittagong district, Chittagong province)",Landslide,Landslide.1,--,--,7,1003,--,--,2015-0411
264,23/05/2015,23/05/2015.1,Bangladesh,BGD,Dinajpur,Storm,Convective storm,--,--,6,40050,--,--,2015-0601
265,13/05/2016,15/05/2016,Bangladesh,BGD,Unnamed: 4,Storm,Convective storm,--,--,59,--,--,--,2016-0154
266,21/05/2016,21/05/2016.1,Bangladesh,BGD,"Barisal; Noakhali, Lakshmipur, Chandpur (Chittagong); Cox?s Bazar, Bhola, Barguna, Patuakhali",Storm,Tropical cyclone,Flood,"Slide (land, mud, sn",27,1300000,--,--,2016-0175
267,19/07/2016,02/08/2016,Bangladesh,BGD,"Kurigram, Bogra, Sirajganj, Gaibandha, Tangail, Jamalpur, Nilphamari, Lalmonirhat, Sunamganj, Faridpur, Kustia,Madaripur, Manikganj, Rajbari, Rangpur, Sariatpur districts",Flood,Riverine flood,--,--,106,1900000,--,--,2016-0288
