road,lrp1,lrp2,name,gap,newspeed
N1,N1_LRP147,N1_LRP147a,N1_LRP147-N1_LRP147a,ROAD,70
N1,N1_LRP147a,N1_LRP147b,N1_LRP147a-N1_LRP147b,ROAD,70
N1,N1_LRP147b,N1_LRP148,N1_LRP147b-N1_LRP148,ROAD,70
N1,N1_LRP148,N1_LRP148a,N1_LRP148-N1_LRP148a,ROAD,70
N1,N1_LRP148a,N1_LRP150,N1_LRP148a-N1_LRP150,ROAD,70
N1,N1_LRP150,N1_LRP151,N1_LRP150-N1_LRP151,ROAD,70
N1,N1_LRP151,N1_LRP151a,N1_LRP151-N1_LRP151a,ROAD,70
N1,N1_LRP151a,N1_LRP151b,N1_LRP151a-N1_LRP151b,BRIDGE,70
N1,N1_LRP151b,N1_LRP152,N1_LRP151b-N1_LRP152,ROAD,70
N1,N1_LRP152,N1_LRP152a,N1_LRP152-N1_LRP152a,ROAD,70
N1,N1_LRP152a,N1_LRP152b,N1_LRP152a-N1_LRP152b,ROAD,70
N1,N1_LRP152b,N1_LRP153,N1_LRP152b-N1_LRP153,ROAD,70
N1,N1_LRP153,N1_LRP154,N1_LRP153-N1_LRP154,ROAD,70
N1,N1_LRP154,N1_LRP155,N1_LRP154-N1_LRP155,ROAD,70
N1,N1_LRP155,N1_LRP156,N1_LRP155-N1_LRP156,ROAD,70
N1,N1_LRP156,N1_LRP156a,N1_LRP156-N1_LRP156a,ROAD,70
N1,N1_LRP156a,N1_LRP156b,N1_LRP156a-N1_LRP156b,BRIDGE,70
N1,N1_LRP156b,N1_LRP157,N1_LRP156b-N1_LRP157,ROAD,70
N1,N1_LRP157,N1_LRP158,N1_LRP157-N1_LRP158,ROAD,70
N1,N1_LRP158,N1_LRP159,N1_LRP158-N1_LRP159,ROAD,70
N1,N1_LRP159,N1_LRP160,N1_LRP159-N1_LRP160,ROAD,70
N1,N1_LRP160,N1_LRP160a,N1_LRP160-N1_LRP160a,ROAD,70
N1,N1_LRP160a,N1_LRP161,N1_LRP160a-N1_LRP161,ROAD,70
N1,N1_LRP161,N1_LRP162,N1_LRP161-N1_LRP162,ROAD,70
N1,N1_LRP162,N1_LRP163,N1_LRP162-N1_LRP163,ROAD,70
N1,N1_LRP163,N1_LRP163a,N1_LRP163-N1_LRP163a,ROAD,70
N1,N1_LRP163a,N1_LRP163b,N1_LRP163a-N1_LRP163b,BRIDGE,70
N1,N1_LRP163b,N1_LRP164,N1_LRP163b-N1_LRP164,ROAD,70
N1,N1_LRP164,N1_LRP164a,N1_LRP164-N1_LRP164a,ROAD,70
N1,N1_LRP164a,N1_LRP165,N1_LRP164a-N1_LRP165,ROAD,70
N1,N1_LRP165,N1_LRP166,N1_LRP165-N1_LRP166,ROAD,70
N1,N1_LRP166,N1_LRP167,N1_LRP166-N1_LRP167,ROAD,70
N1,N1_LRP167,N1_LRP168,N1_LRP167-N1_LRP168,ROAD,70
N1,N1_LRP168,N1_LRP168a,N1_LRP168-N1_LRP168a,ROAD,70
N1,N1_LRP168a,N1_LRP168b,N1_LRP168a-N1_LRP168b,BRIDGE,70
N1,N1_LRP168b,N1_LRP169,N1_LRP168b-N1_LRP169,ROAD,70
N1,N1_LRP169,N1_LRP169a,N1_LRP169-N1_LRP169a,ROAD,70
N1,N1_LRP169a,N1_LRP170,N1_LRP169a-N1_LRP170,ROAD,70
N1,N1_LRP170,N1_LRP170a,N1_LRP170-N1_LRP170a,ROAD,70
N1,N1_LRP170a,N1_LRP170b,N1_LRP170a-N1_LRP170b,ROAD,70
N1,N1_LRP170b,N1_LRP170c,N1_LRP170b-N1_LRP170c,ROAD,70
N1,N1_LRP170c,N1_LRP170d,N1_LRP170c-N1_LRP170d,ROAD,70
N1,N1_LRP170d,N1_LRP171,N1_LRP170d-N1_LRP171,ROAD,70
N1,N1_LRP171,N1_LRP172,N1_LRP171-N1_LRP172,ROAD,70
N1,N1_LRP172,N1_LRP172b,N1_LRP172-N1_LRP172b,ROAD,70
N1,N1_LRP172b,N1_LRP173,N1_LRP172b-N1_LRP173,ROAD,70
N1,N1_LRP173,N1_LRP173a,N1_LRP173-N1_LRP173a,ROAD,70
N1,N1_LRP173a,N1_LRP173b,N1_LRP173a-N1_LRP173b,ROAD,70
N1,N1_LRP173b,N1_LRP174,N1_LRP173b-N1_LRP174,ROAD,70
N1,N1_LRP174,N1_LRP174a,N1_LRP174-N1_LRP174a,ROAD,70
N1,N1_LRP174a,N1_LRP174b,N1_LRP174a-N1_LRP174b,ROAD,70
N1,N1_LRP174b,N1_LRP175,N1_LRP174b-N1_LRP175,ROAD,70
N1,N1_LRP175,N1_LRP175a,N1_LRP175-N1_LRP175a,ROAD,70
N1,N1_LRP175a,N1_LRP175b,N1_LRP175a-N1_LRP175b,ROAD,70
N1,N1_LRP175b,N1_LRP176,N1_LRP175b-N1_LRP176,ROAD,70
N1,N1_LRP176,N1_LRP176a,N1_LRP176-N1_LRP176a,ROAD,70
N1,N1_LRP176a,N1_LRP176b,N1_LRP176a-N1_LRP176b,BRIDGE,70
N1,N1_LRP176b,N1_LRP176c,N1_LRP176b-N1_LRP176c,ROAD,70
N1,N1_LRP176c,N1_LRP176d,N1_LRP176c-N1_LRP176d,ROAD,70
N1,N1_LRP176d,N1_LRP177,N1_LRP176d-N1_LRP177,ROAD,70
N1,N1_LRP177,N1_LRP177a,N1_LRP177-N1_LRP177a,ROAD,70
N1,N1_LRP177a,N1_LRP178,N1_LRP177a-N1_LRP178,ROAD,70
N1,N1_LRP178,N1_LRP178a,N1_LRP178-N1_LRP178a,ROAD,70
N1,N1_LRP178a,N1_LRP179,N1_LRP178a-N1_LRP179,ROAD,70
N1,N1_LRP179,N1_LRP180,N1_LRP179-N1_LRP180,ROAD,70
N1,N1_LRP180,N1_LRP180a,N1_LRP180-N1_LRP180a,ROAD,70
N1,N1_LRP180a,N1_LRP180b,N1_LRP180a-N1_LRP180b,ROAD,70
N1,N1_LRP180b,N1_LRP180c,N1_LRP180b-N1_LRP180c,ROAD,70
N1,N1_LRP180c,N1_LRP181,N1_LRP180c-N1_LRP181,ROAD,70
N1,N1_LRP181,N1_LRP181a,N1_LRP181-N1_LRP181a,ROAD,70
N1,N1_LRP181a,N1_LRP182,N1_LRP181a-N1_LRP182,ROAD,70
N1,N1_LRP182,N1_LRP182a,N1_LRP182-N1_LRP182a,ROAD,70
N1,N1_LRP182a,N1_LRP182b,N1_LRP182a-N1_LRP182b,ROAD,70
N1,N1_LRP182b,N1_LRP183,N1_LRP182b-N1_LRP183,ROAD,70
N1,N1_LRP183,N1_LRP183a,N1_LRP183-N1_LRP183a,ROAD,70
